from,to,strength,direction,in_final_dag
age_group,sex,0,0,FALSE
age_group,cmv,0,0,FALSE
age_group,bc_basophil_count,0,0,FALSE
age_group,bc_eosinophil_count,0,0,FALSE
age_group,bc_hematocrit,0,0,FALSE
age_group,bc_hemoglobin,0,0,FALSE
age_group,bc_lymphocyte_count,0,0,FALSE
age_group,bc_monocyte_count,0,0,FALSE
age_group,bc_mpv,0,0,FALSE
age_group,bc_neutrophil_count,0,0,FALSE
age_group,bc_platelet_count,0,0,FALSE
age_group,bc_rdw,0.29,1,FALSE
age_group,bc_red_blood_cell_count,0,0,FALSE
age_group,bc_wbc,0,0,FALSE
age_group,chem_albumin,0,0,FALSE
age_group,chem_alkaline_phosphatase,0.49,1,FALSE
age_group,chem_alt,0,0,FALSE
age_group,chem_ast,0,0,FALSE
age_group,chem_bun,0.12,1,FALSE
age_group,chem_calcium,0,0,FALSE
age_group,chem_cl,0,0,FALSE
age_group,chem_co2,0,0,FALSE
age_group,chem_creatinine,0,0,FALSE
age_group,chem_globin,0,0,FALSE
age_group,chem_glucose,0.65,1,FALSE
age_group,chem_potassium,0,0,FALSE
age_group,chem_protein,0,0,FALSE
age_group,chem_sodium,0,0,FALSE
age_group,chem_t_bili,0.06,1,FALSE
age_group,infl_esr,0.02,1,FALSE
age_group,infl_hs_crp,0,0,FALSE
age_group,lip_cholesterol_hdl,0.01,1,FALSE
age_group,lip_cholesterol_ldl,0.01,1,FALSE
age_group,lip_cholesterol_total,0.88,1,TRUE
age_group,lip_triglycerides,0,0,FALSE
age_group,IL6,0,0,FALSE
age_group,TNF,0,0,FALSE
age_group,CXCL8,0.14,1,FALSE
age_group,CXCL9,0.01,1,FALSE
age_group,GDF15,1,1,TRUE
age_group,CCL11,0.31,1,FALSE
age_group,TNFRSF1A,0,0,FALSE
age_group,CD8A,0.01,1,FALSE
age_group,GZMA,0,0,FALSE
age_group,GZMB,0,0,FALSE
age_group,KLRD1,0.01,1,FALSE
age_group,FGF21,0,0,FALSE
age_group,CHI3L1,0.06,1,FALSE
age_group,IL18,0,0,FALSE
age_group,CXCL10,0,0,FALSE
age_group,CXCL11,0.11,1,FALSE
age_group,IFNG,0,0,FALSE
age_group,CCL2,0,0,FALSE
age_group,CCL8,0,0,FALSE
age_group,CCL3,0.01,1,FALSE
age_group,CCL4,0.02,1,FALSE
age_group,TNFRSF1B,0,0,FALSE
age_group,MMP12,0.02,1,FALSE
age_group,IGFBP7,0.24,1,FALSE
age_group,VEGFA,0,0,FALSE
age_group,IL10,0,0,FALSE
age_group,IL1RN,0,0,FALSE
age_group,IL7,0,0,FALSE
age_group,IL15,0,0,FALSE
age_group,PDCD1,0,0,FALSE
age_group,LAG3,0.01,1,FALSE
age_group,HAVCR2,0,0,FALSE
age_group,CD274,0.2,1,FALSE
age_group,LEP,0,0,FALSE
age_group,l2_erythrocyte,0,0,FALSE
age_group,l2_ilc,0,0,FALSE
age_group,l2_platelet,0,0,FALSE
age_group,l2_progenitor_cell,0,0,FALSE
age_group,l3_asdc,0,0,FALSE
age_group,l3_baeomap_cell,0,0,FALSE
age_group,l3_cd56bright_nk_cell,0,0,FALSE
age_group,l3_cd8aa,1,1,TRUE
age_group,l3_cdc1,0,0,FALSE
age_group,l3_dn_t_cell,0.01,1,FALSE
age_group,l3_erythrocyte,0,0,FALSE
age_group,l3_ilc,0,0,FALSE
age_group,l3_intermediate_monocyte,0,0,FALSE
age_group,l3_pdc,0,0,FALSE
age_group,l3_plasma_cell,0,0,FALSE
age_group,l3_platelet,0,0,FALSE
age_group,l3_proliferating_nk_cell,0,0,FALSE
age_group,l3_proliferating_t_cell,0,0,FALSE
age_group,l3_transitional_b_cell,0,0,FALSE
age_group,pb_cd14_cdc2_ifn_alpha,0,0,FALSE
age_group,pb_cd14_cdc2_ifn_gamma,0,0,FALSE
age_group,pb_cd14_cdc2_il2_stat5,0,0,FALSE
age_group,pb_cd14_cdc2_il6_jak_stat3,0,0,FALSE
age_group,pb_cd14_cdc2_inflammatory,0,0,FALSE
age_group,pb_cd14_cdc2_tnfa_nfkb,0,0,FALSE
age_group,pb_cd56bright_nk_cell_ifn_alpha,0,0,FALSE
age_group,pb_cd56bright_nk_cell_ifn_gamma,0,0,FALSE
age_group,pb_cd56bright_nk_cell_il2_stat5,0,0,FALSE
age_group,pb_cd56bright_nk_cell_il6_jak_stat3,0,0,FALSE
age_group,pb_cd56bright_nk_cell_inflammatory,0,0,FALSE
age_group,pb_cd56bright_nk_cell_tnfa_nfkb,0,0,FALSE
age_group,pb_cd8_mait_ifn_alpha,0,0,FALSE
age_group,pb_cd8_mait_ifn_gamma,0,0,FALSE
age_group,pb_cd8_mait_il2_stat5,0.01,1,FALSE
age_group,pb_cd8_mait_il6_jak_stat3,0,0,FALSE
age_group,pb_cd8_mait_inflammatory,0,0,FALSE
age_group,pb_cd8_mait_tnfa_nfkb,0.03,1,FALSE
age_group,pb_cm_cd4_t_cell_ifn_alpha,0,0,FALSE
age_group,pb_cm_cd4_t_cell_ifn_gamma,0,0,FALSE
age_group,pb_cm_cd4_t_cell_il2_stat5,0,0,FALSE
age_group,pb_cm_cd4_t_cell_il6_jak_stat3,0,0,FALSE
age_group,pb_cm_cd4_t_cell_inflammatory,0,0,FALSE
age_group,pb_cm_cd4_t_cell_tnfa_nfkb,0.03,1,FALSE
age_group,pb_cm_cd8_t_cell_ifn_alpha,0,0,FALSE
age_group,pb_cm_cd8_t_cell_ifn_gamma,0,0,FALSE
age_group,pb_cm_cd8_t_cell_il2_stat5,0,0,FALSE
age_group,pb_cm_cd8_t_cell_il6_jak_stat3,0,0,FALSE
age_group,pb_cm_cd8_t_cell_inflammatory,0,0,FALSE
age_group,pb_cm_cd8_t_cell_tnfa_nfkb,0,0,FALSE
age_group,pb_core_cd14_monocyte_ifn_alpha,0.01,1,FALSE
age_group,pb_core_cd14_monocyte_ifn_gamma,0,0,FALSE
age_group,pb_core_cd14_monocyte_il2_stat5,0,0,FALSE
age_group,pb_core_cd14_monocyte_il6_jak_stat3,0,0,FALSE
age_group,pb_core_cd14_monocyte_inflammatory,0,0,FALSE
age_group,pb_core_cd14_monocyte_tnfa_nfkb,0,0,FALSE
age_group,pb_core_cd16_monocyte_ifn_alpha,0,0,FALSE
age_group,pb_core_cd16_monocyte_ifn_gamma,0,0,FALSE
age_group,pb_core_cd16_monocyte_il2_stat5,0,0,FALSE
age_group,pb_core_cd16_monocyte_il6_jak_stat3,0,0,FALSE
age_group,pb_core_cd16_monocyte_inflammatory,0,0,FALSE
age_group,pb_core_cd16_monocyte_tnfa_nfkb,0,0,FALSE
age_group,pb_core_memory_b_cell_ifn_alpha,0,0,FALSE
age_group,pb_core_memory_b_cell_ifn_gamma,0,0,FALSE
age_group,pb_core_memory_b_cell_il2_stat5,0,0,FALSE
age_group,pb_core_memory_b_cell_il6_jak_stat3,0,0,FALSE
age_group,pb_core_memory_b_cell_inflammatory,0,0,FALSE
age_group,pb_core_memory_b_cell_tnfa_nfkb,0,0,FALSE
age_group,pb_core_naive_b_cell_ifn_alpha,0,0,FALSE
age_group,pb_core_naive_b_cell_ifn_gamma,0,0,FALSE
age_group,pb_core_naive_b_cell_il2_stat5,0,0,FALSE
age_group,pb_core_naive_b_cell_il6_jak_stat3,0,0,FALSE
age_group,pb_core_naive_b_cell_inflammatory,0,0,FALSE
age_group,pb_core_naive_b_cell_tnfa_nfkb,0,0,FALSE
age_group,pb_core_naive_cd4_t_cell_ifn_alpha,0.03,1,FALSE
age_group,pb_core_naive_cd4_t_cell_ifn_gamma,0,0,FALSE
age_group,pb_core_naive_cd4_t_cell_il2_stat5,0,0,FALSE
age_group,pb_core_naive_cd4_t_cell_il6_jak_stat3,0,0,FALSE
age_group,pb_core_naive_cd4_t_cell_inflammatory,0,0,FALSE
age_group,pb_core_naive_cd4_t_cell_tnfa_nfkb,0,0,FALSE
age_group,pb_core_naive_cd8_t_cell_ifn_alpha,0.01,1,FALSE
age_group,pb_core_naive_cd8_t_cell_ifn_gamma,0,0,FALSE
age_group,pb_core_naive_cd8_t_cell_il2_stat5,0.54,1,FALSE
age_group,pb_core_naive_cd8_t_cell_il6_jak_stat3,0.65,1,FALSE
age_group,pb_core_naive_cd8_t_cell_inflammatory,0.01,1,FALSE
age_group,pb_core_naive_cd8_t_cell_tnfa_nfkb,0,0,FALSE
age_group,pb_gzmb_cd27_em_cd4_t_cell_ifn_alpha,0.02,1,FALSE
age_group,pb_gzmb_cd27_em_cd4_t_cell_ifn_gamma,0,0,FALSE
age_group,pb_gzmb_cd27_em_cd4_t_cell_il2_stat5,0,0,FALSE
age_group,pb_gzmb_cd27_em_cd4_t_cell_il6_jak_stat3,0,0,FALSE
age_group,pb_gzmb_cd27_em_cd4_t_cell_inflammatory,0,0,FALSE
age_group,pb_gzmb_cd27_em_cd4_t_cell_tnfa_nfkb,0,0,FALSE
age_group,pb_gzmk_cd56dim_nk_cell_ifn_alpha,0,0,FALSE
age_group,pb_gzmk_cd56dim_nk_cell_ifn_gamma,0,0,FALSE
age_group,pb_gzmk_cd56dim_nk_cell_il2_stat5,0,0,FALSE
age_group,pb_gzmk_cd56dim_nk_cell_il6_jak_stat3,0,0,FALSE
age_group,pb_gzmk_cd56dim_nk_cell_inflammatory,0,0,FALSE
age_group,pb_gzmk_cd56dim_nk_cell_tnfa_nfkb,0,0,FALSE
age_group,pb_gzmk_vd2_gdt_ifn_alpha,0.11,1,FALSE
age_group,pb_gzmk_vd2_gdt_ifn_gamma,0,0,FALSE
age_group,pb_gzmk_vd2_gdt_il2_stat5,0,0,FALSE
age_group,pb_gzmk_vd2_gdt_il6_jak_stat3,0,0,FALSE
age_group,pb_gzmk_vd2_gdt_inflammatory,0,0,FALSE
age_group,pb_gzmk_vd2_gdt_tnfa_nfkb,0,0,FALSE
age_group,pb_hla_drhi_cdc2_ifn_alpha,0.04,1,FALSE
age_group,pb_hla_drhi_cdc2_ifn_gamma,0,0,FALSE
age_group,pb_hla_drhi_cdc2_il2_stat5,0,0,FALSE
age_group,pb_hla_drhi_cdc2_il6_jak_stat3,0,0,FALSE
age_group,pb_hla_drhi_cdc2_inflammatory,0,0,FALSE
age_group,pb_hla_drhi_cdc2_tnfa_nfkb,0,0,FALSE
age_group,pb_intermediate_monocyte_ifn_alpha,0,0,FALSE
age_group,pb_intermediate_monocyte_ifn_gamma,0,0,FALSE
age_group,pb_intermediate_monocyte_il2_stat5,0,0,FALSE
age_group,pb_intermediate_monocyte_il6_jak_stat3,0,0,FALSE
age_group,pb_intermediate_monocyte_inflammatory,0,0,FALSE
age_group,pb_intermediate_monocyte_tnfa_nfkb,0,0,FALSE
age_group,pb_isg_cd14_monocyte_ifn_alpha,0,0,FALSE
age_group,pb_isg_cd14_monocyte_ifn_gamma,0,0,FALSE
age_group,pb_isg_cd14_monocyte_il2_stat5,0,0,FALSE
age_group,pb_isg_cd14_monocyte_il6_jak_stat3,0,0,FALSE
age_group,pb_isg_cd14_monocyte_inflammatory,0,0,FALSE
age_group,pb_isg_cd14_monocyte_tnfa_nfkb,0,0,FALSE
age_group,pb_isg_memory_cd4_t_cell_ifn_alpha,0,0,FALSE
age_group,pb_isg_memory_cd4_t_cell_ifn_gamma,0,0,FALSE
age_group,pb_isg_memory_cd4_t_cell_il2_stat5,0,0,FALSE
age_group,pb_isg_memory_cd4_t_cell_il6_jak_stat3,0,0,FALSE
age_group,pb_isg_memory_cd4_t_cell_inflammatory,0.01,1,FALSE
age_group,pb_isg_memory_cd4_t_cell_tnfa_nfkb,0,0,FALSE
age_group,pb_klrb1_memory_cd4_treg_ifn_alpha,0.05,1,FALSE
age_group,pb_klrb1_memory_cd4_treg_ifn_gamma,0,0,FALSE
age_group,pb_klrb1_memory_cd4_treg_il2_stat5,0,0,FALSE
age_group,pb_klrb1_memory_cd4_treg_il6_jak_stat3,0,0,FALSE
age_group,pb_klrb1_memory_cd4_treg_inflammatory,0,0,FALSE
age_group,pb_klrb1_memory_cd4_treg_tnfa_nfkb,0,0,FALSE
age_group,pb_klrf1_gzmb_cd27_em_cd8_t_cell_ifn_alpha,0,0,FALSE
age_group,pb_klrf1_gzmb_cd27_em_cd8_t_cell_ifn_gamma,0,0,FALSE
age_group,pb_klrf1_gzmb_cd27_em_cd8_t_cell_il2_stat5,0,0,FALSE
age_group,pb_klrf1_gzmb_cd27_em_cd8_t_cell_il6_jak_stat3,0,0,FALSE
age_group,pb_klrf1_gzmb_cd27_em_cd8_t_cell_inflammatory,0,0,FALSE
age_group,pb_klrf1_gzmb_cd27_em_cd8_t_cell_tnfa_nfkb,0,0,FALSE
age_group,pb_memory_cd4_treg_ifn_alpha,0.01,1,FALSE
age_group,pb_memory_cd4_treg_ifn_gamma,0,0,FALSE
age_group,pb_memory_cd4_treg_il2_stat5,0.04,1,FALSE
age_group,pb_memory_cd4_treg_il6_jak_stat3,0,0,FALSE
age_group,pb_memory_cd4_treg_inflammatory,0,0,FALSE
age_group,pb_memory_cd4_treg_tnfa_nfkb,0.01,1,FALSE
age_group,pb_naive_cd4_treg_ifn_alpha,0,0,FALSE
age_group,pb_naive_cd4_treg_ifn_gamma,0,0,FALSE
age_group,pb_naive_cd4_treg_il2_stat5,0,0,FALSE
age_group,pb_naive_cd4_treg_il6_jak_stat3,0,0,FALSE
age_group,pb_naive_cd4_treg_inflammatory,0.01,1,FALSE
age_group,pb_naive_cd4_treg_tnfa_nfkb,0,0,FALSE
age_group,pb_pdc_ifn_alpha,0,0,FALSE
age_group,pb_pdc_ifn_gamma,0,0,FALSE
age_group,pb_pdc_il2_stat5,0,0,FALSE
age_group,pb_pdc_il6_jak_stat3,0,0,FALSE
age_group,pb_pdc_inflammatory,0,0,FALSE
age_group,pb_pdc_tnfa_nfkb,0,0,FALSE
age_group,pb_transitional_b_cell_ifn_alpha,0,0,FALSE
age_group,pb_transitional_b_cell_ifn_gamma,0,0,FALSE
age_group,pb_transitional_b_cell_il2_stat5,0,0,FALSE
age_group,pb_transitional_b_cell_il6_jak_stat3,0,0,FALSE
age_group,pb_transitional_b_cell_inflammatory,0,0,FALSE
age_group,pb_transitional_b_cell_tnfa_nfkb,0,0,FALSE
age_group,wb_adipogenesis,0,0,FALSE
age_group,wb_allograft_rejection,0,0,FALSE
age_group,wb_androgen_response,0,0,FALSE
age_group,wb_angiogenesis,0,0,FALSE
age_group,wb_apical_junction,0.07,1,FALSE
age_group,wb_apical_surface,0,0,FALSE
age_group,wb_apoptosis,0,0,FALSE
age_group,wb_bile_acid_metabolism,0,0,FALSE
age_group,wb_cholesterol_homeostasis,0,0,FALSE
age_group,wb_coagulation,0,0,FALSE
age_group,wb_complement,0,0,FALSE
age_group,wb_dna_repair,0,0,FALSE
age_group,wb_e2f_targets,0,0,FALSE
age_group,wb_epithelial_mesenchymal_transition,0,0,FALSE
age_group,wb_estrogen_response_early,0,0,FALSE
age_group,wb_estrogen_response_late,0,0,FALSE
age_group,wb_fatty_acid_metabolism,0,0,FALSE
age_group,wb_g2_m_checkpoint,0,0,FALSE
age_group,wb_glycolysis,0,0,FALSE
age_group,wb_hedgehog_signaling,0,0,FALSE
age_group,wb_heme_metabolism,0,0,FALSE
age_group,wb_hypoxia,0,0,FALSE
age_group,wb_il_2_stat5_signaling,0,0,FALSE
age_group,wb_il_6_jak_stat3_signaling,0,0,FALSE
age_group,wb_inflammatory_response,0,0,FALSE
age_group,wb_interferon_alpha_response,0.18,1,FALSE
age_group,wb_interferon_gamma_response,0,0,FALSE
age_group,wb_kras_signaling_dn,0,0,FALSE
age_group,wb_kras_signaling_up,0,0,FALSE
age_group,wb_mitotic_spindle,0,0,FALSE
age_group,wb_mtorc1_signaling,0,0,FALSE
age_group,wb_myc_targets_v1,0,0,FALSE
age_group,wb_myc_targets_v2,0,0,FALSE
age_group,wb_myogenesis,0,0,FALSE
age_group,wb_notch_signaling,0,0,FALSE
age_group,wb_oxidative_phosphorylation,0,0,FALSE
age_group,wb_p53_pathway,0,0,FALSE
age_group,wb_pancreas_beta_cells,0,0,FALSE
age_group,wb_pi3k_akt_mtor_signaling,0,0,FALSE
age_group,wb_pperoxisome,0,0,FALSE
age_group,wb_protein_secretion,0,0,FALSE
age_group,wb_reactive_oxygen_species_pathway,0.04,1,FALSE
age_group,wb_spermatogenesis,0,0,FALSE
age_group,wb_tgf_beta_signaling,0,0,FALSE
age_group,wb_tnf_alpha_signaling_via_nf_kb,0,0,FALSE
age_group,wb_unfolded_protein_response,0,0,FALSE
age_group,wb_uv_response_dn,0,0,FALSE
age_group,wb_uv_response_up,0,0,FALSE
age_group,wb_wnt_beta_catenin_signaling,0,0,FALSE
age_group,wb_xenobiotic_metabolism,0.02,1,FALSE
age_group,l2_effector_b_cell_alr,0,0,FALSE
age_group,l2_memory_b_cell_alr,0,0,FALSE
age_group,l2_plasma_cell_alr,0,0,FALSE
age_group,l2_transitional_b_cell_alr,0,0,FALSE
age_group,l2_asdc_alr,0,0,FALSE
age_group,l2_cdc1_alr,0,0,FALSE
age_group,l2_pdc_alr,0,0,FALSE
age_group,l2_cd16_monocyte_alr,0.37,1,FALSE
age_group,l2_intermediate_monocyte_alr,0,0,FALSE
age_group,l2_cd56bright_nk_cell_alr,0,0,FALSE
age_group,l2_proliferating_nk_cell_alr,0,0,FALSE
age_group,l2_cd8aa_alr,0,0,FALSE
age_group,l2_dn_t_cell_alr,0,0,FALSE
age_group,l2_gdt_alr,0.7,1,FALSE
age_group,l2_mait_alr,0,0,FALSE
age_group,l2_memory_cd4_t_cell_alr,0,0,FALSE
age_group,l2_memory_cd8_t_cell_alr,0,0,FALSE
age_group,l2_naive_cd8_t_cell_alr,0.09,1,FALSE
age_group,l2_proliferating_t_cell_alr,0,0,FALSE
age_group,l2_treg_alr,0,0,FALSE
age_group,l3_il1b_cd14_monocyte_alr,0,0,FALSE
age_group,l3_isg_cd14_monocyte_alr,0.01,1,FALSE
age_group,l3_c1q_cd16_monocyte_alr,0.01,1,FALSE
age_group,l3_isg_cd16_monocyte_alr,0,0,FALSE
age_group,l3_gzmk_cd56dim_nk_cell_alr,0,0,FALSE
age_group,l3_isg_cd56dim_nk_cell_alr,0,0,FALSE
age_group,l3_adaptive_nk_cell_alr,0,0,FALSE
age_group,l3_cd14_cdc2_alr,0.01,1,FALSE
age_group,l3_isg_cdc2_alr,0,0,FALSE
age_group,l3_cd27_effector_b_cell_alt_alr,0,0,FALSE
age_group,l3_gzmb_vd2_gdt_alr,0,0,FALSE
age_group,l3_klrf1_effector_vd1_gdt_alr,0,0,FALSE
age_group,l3_klrf1_effector_vd1_gdt_alt_alr,0,0,FALSE
age_group,l3_naive_vd1_gdt_alr,0,0,FALSE
age_group,l3_sox4_vd1_gdt_alr,0,0,FALSE
age_group,l3_cd4_mait_alr,0,0,FALSE
age_group,l3_isg_mait_alr,0,0,FALSE
age_group,l3_activated_memory_b_cell_alr,0,0,FALSE
age_group,l3_cd95_memory_b_cell_alr,0,0,FALSE
age_group,l3_early_memory_b_cell_alr,0.01,1,FALSE
age_group,l3_type_2_polarized_memory_b_cell_alr,0,0,FALSE
age_group,l3_isg_memory_cd4_t_cell_alr,0,0,FALSE
age_group,l3_klrf1_gzmb_cd27_memory_cd4_t_cell_alr,0,0,FALSE
age_group,l3_gzmb_cd27_em_cd4_t_cell_alr,0,0,FALSE
age_group,l3_gzmb_cd27_em_cd4_t_cell_alt_alr,0,0,FALSE
age_group,l3_isg_memory_cd8_t_cell_alr,0,0,FALSE
age_group,l3_cm_cd8_t_cell_alr,0.02,1,FALSE
age_group,l3_gzmk_cd27_em_cd8_t_cell_alt_alr,0,0,FALSE
age_group,l3_klrf1_gzmb_cd27_em_cd8_t_cell_alr,0,0,FALSE
age_group,l3_klrf1_gzmb_cd27_em_cd8_t_cell_alt_alr,0,0,FALSE
age_group,l3_isg_naive_b_cell_alr,0,0,FALSE
age_group,l3_isg_naive_cd4_t_cell_alr,0,0,FALSE
age_group,l3_sox4_naive_cd4_t_cell_alr,0.71,1,FALSE
age_group,l3_isg_naive_cd8_t_cell_alr,0,0,FALSE
age_group,l3_sox4_naive_cd8_t_cell_alr,0,0,FALSE
age_group,l3_clp_cell_alr,0,0,FALSE
age_group,l3_gzmk_memory_cd4_treg_alr,0,0,FALSE
age_group,l3_klrb1_memory_cd4_treg_alr,0,0,FALSE
