alias,csv_column,type,log_transformed
age_group,subject.ageGroup,discrete_root,FALSE
sex,subject.biologicalSex,discrete_root,FALSE
cmv,cmv.igg_serology_interpretation,discrete_root,FALSE
crp,clinical.infl.hs_crp,continuous,TRUE
esr,clinical.infl.esr,continuous,TRUE
lymphocytes,clinical.bc.lymphocyte_count,continuous,FALSE
neutrophils,clinical.bc.neutrophil_count,continuous,FALSE
monocytes,clinical.bc.monocyte_count,continuous,FALSE
eosinophils,clinical.bc.eosinophil_count,continuous,FALSE
hemoglobin,clinical.bc.hemoglobin,continuous,FALSE
platelets,clinical.bc.platelet_count,continuous,FALSE
rdw,clinical.bc.rdw,continuous,FALSE
hdl,clinical.lip.cholesterol_hdl,continuous,FALSE
ldl,clinical.lip.cholesterol_ldl,continuous,FALSE
triglycerides,clinical.lip.triglycerides,continuous,TRUE
alt,clinical.chem.alt,continuous,TRUE
ast,clinical.chem.ast,continuous,TRUE
albumin,clinical.chem.albumin,continuous,FALSE
creatinine,clinical.chem.creatinine,continuous,FALSE
bun,clinical.chem.bun,continuous,FALSE
glucose,clinical.chem.glucose,continuous,TRUE
wbc,clinical.bc.wbc,continuous,FALSE
hematocrit,clinical.bc.hematocrit,continuous,FALSE
potassium,clinical.chem.potassium,continuous,FALSE
calcium,clinical.chem.calcium,continuous,FALSE
